baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,rank_DESEQ
1148.65765,2.44914606,0.52361137,4.67741193,2.91E-06,0.00013491,SPPL2C,61
6488.18658,1.3569304,0.29263297,4.63697033,3.54E-06,0.00015859,LTBR,62
4333.28435,0.80799118,0.17638583,4.58081682,4.63E-06,0.00019914,VSTM1,63
2904.92935,0.64697777,0.1416603,4.56710703,4.95E-06,0.00021105,EXOSC5,64
2596.33588,0.65079705,0.14310562,4.54766953,5.42E-06,0.00022816,TIMMDC1,65
833.496765,1.23590618,0.27210917,4.54194967,5.57E-06,0.00023141,DYRK4,66
3866.36064,0.57853193,0.12830138,4.50916367,6.51E-06,0.00025999,CRADD,67
2098.04639,0.70987763,0.1578274,4.49780997,6.87E-06,0.000268,SPIC,68
307.78825,1.73938806,0.38675528,4.4973867,6.88E-06,0.000268,DHX40,69
7620.64121,0.9438162,0.21022934,4.48946001,7.14E-06,0.00027631,SLC10A7,70
1917.79458,0.95084653,0.21204284,4.48421904,7.32E-06,0.00028131,TIMP4,71
1474.15824,0.80302234,0.17958661,4.47150465,7.77E-06,0.00029467,HSFX3,72
535.256119,1.26403945,0.28309545,4.46506446,8.00E-06,0.00029991,TRH,73
4604.59591,0.62169507,0.13972204,4.4495133,8.61E-06,0.00031518,CUTA,74
6596.14733,0.45615807,0.10280252,4.4372265,9.11E-06,0.00032525,LRR1,75
1438.93324,1.13367867,0.2557908,4.43205403,9.33E-06,0.0003307,CDK17,76
1129.753,1.18075036,0.26642498,4.43183061,9.34E-06,0.0003307,HADH,77
2156.41111,0.98530286,0.22304405,4.41752581,9.98E-06,0.00034805,RAN,78
6197.57351,1.10170852,0.24957532,4.41433285,1.01E-05,0.00035007,ACTL8,79
4354.3407,0.86890334,0.19719773,4.4062542,1.05E-05,0.00035917,LIG3,80
1916.75516,0.70669381,0.1604293,4.40501699,1.06E-05,0.0003601,OSM,81
6832.68096,0.62093243,0.14103042,4.40282611,1.07E-05,0.00036164,NFYB,82
4085.53554,0.67289473,0.15294181,4.39967794,1.08E-05,0.0003648,RNF186,83
5509.17923,0.58648136,0.13340899,4.3961157,1.10E-05,0.00036976,RAB24,84
7243.54739,0.66664107,0.15188168,4.38921324,1.14E-05,0.00037626,RPL14,85
1229.72148,1.30687299,0.29940785,4.36485878,1.27E-05,0.0004102,KDSR,86
2431.10938,0.95299898,0.21849959,4.36155968,1.29E-05,0.00041299,MEI1,87
14518.1354,0.52412261,0.12022205,4.35962124,1.30E-05,0.00041497,C1orf210,88
2060.527,0.73489159,0.16867149,4.35694014,1.32E-05,0.00041607,GSTK1,89
1787.68626,0.78638612,0.1814811,4.33315703,1.47E-05,0.0004587,SPATS1,90
8428.99396,0.60920565,0.14105714,4.31885715,1.57E-05,0.00048424,ACSM5,91
5531.81766,0.50617936,0.11740012,4.31157444,1.62E-05,0.00049914,TAZ,92
1925.22282,0.67593162,0.15717726,4.30044156,1.70E-05,0.00051802,IFT81,93
8975.07995,0.55255233,0.1285069,4.29978707,1.71E-05,0.0005182,IL27,94
487.457392,1.44304534,0.33608479,4.29369429,1.76E-05,0.00052713,GTF3C6,95
1414.72018,1.30075981,0.30350313,4.28582007,1.82E-05,0.00054056,CEP43,96
1161.06992,1.45642286,0.34012567,4.28201393,1.85E-05,0.0005471,RUVBL2,97
3461.81965,0.60320589,0.14165429,4.25829602,2.06E-05,0.00059934,PRND,98
3334.18885,0.66920754,0.15726819,4.25519964,2.09E-05,0.00060617,TAFA2,99
137.563755,2.54543191,0.59843178,4.25350388,2.10E-05,0.00060926,PDK4,100
994.430236,1.29016141,0.30370732,4.24804193,2.16E-05,0.00062115,TMEM44,101
2205.94896,0.8432256,0.20023901,4.21109563,2.54E-05,0.0007058,NRBP2,102
3098.87593,0.83718124,0.19942713,4.19793049,2.69E-05,0.00073751,RTBDN,103
1519.82587,0.80502245,0.19200143,4.19279413,2.76E-05,0.00074737,FKBP1A,104
4435.03193,0.88131349,0.21026149,4.19151169,2.77E-05,0.00074985,EDDM3A,105
1423.34312,1.27541023,0.30439727,4.18995291,2.79E-05,0.00075327,TRMT12,106
5050.30454,0.45426784,0.10877005,4.17640565,2.96E-05,0.00078315,NRG1,107
3059.70225,0.88193411,0.21210843,4.15793999,3.21E-05,0.00083587,TFF1,108
1131.71004,1.26343626,0.30429808,4.15196924,3.30E-05,0.00085416,FNDC8,109
591.49431,1.52615992,0.36870785,4.13921186,3.49E-05,0.00089493,TLE1,110
922.932223,0.99981212,0.24165743,4.13731166,3.51E-05,0.00089854,UHMK1,111
2701.17222,0.66561636,0.16132166,4.12601967,3.69E-05,0.00093555,RAD51C,112
1436.2157,0.79708969,0.1936495,4.11614632,3.85E-05,0.0009708,ETFBKMT,113
2424.63333,0.78337438,0.19035394,4.11535686,3.87E-05,0.00097139,TARBP2,114
2520.32541,0.70199801,0.17063006,4.11415199,3.89E-05,0.00097437,LENG1,115
3182.99362,0.79638987,0.19403483,4.10436549,4.05E-05,0.00100354,CLN6,116
3020.72243,0.74147078,0.18107322,4.09486711,4.22E-05,0.00103674,CCDC137,117
455.982626,1.41662374,0.34610673,4.09302567,4.26E-05,0.00104061,GNPDA1,118
627.507879,1.32647434,0.3242325,4.09112091,4.29E-05,0.00104699,QTRT1,119
8740.47566,0.51477069,0.12588552,4.08919696,4.33E-05,0.00105129,ZCCHC12,120
2098.06176,0.75727207,0.18601502,4.07102654,4.68E-05,0.001125,FBXO6,121
3503.38147,0.6071572,0.1494139,4.06359242,4.83E-05,0.00115906,PGAP2,122
15110.0018,1.28643022,0.31677383,4.06103697,4.89E-05,0.00116496,SMOC1,123
1162.91004,0.81481225,0.20065389,4.0607847,4.89E-05,0.00116496,FBXO30,124
563.975441,1.80886894,0.44663755,4.04997061,5.12E-05,0.00120606,CST8,125
4027.37094,0.6343427,0.1566462,4.04952497,5.13E-05,0.00120606,BAX,126
981.28514,0.90495521,0.22405141,4.03905172,5.37E-05,0.00125358,S100A8,127
1290.78859,1.17286358,0.29213972,4.01473506,5.95E-05,0.0013708,VWC2L,128
2506.96308,0.88989301,0.22174873,4.01306924,5.99E-05,0.00137505,RHEX,129
4597.50422,1.63957519,0.4087656,4.01104002,6.05E-05,0.00137875,MAGEA12,130
4112.85047,0.62126575,0.15492708,4.0100526,6.07E-05,0.00138182,BOLL,131
1759.47219,0.91514554,0.2284553,4.00579703,6.18E-05,0.00139871,CLEC19A,132
525.792427,1.87133437,0.46761924,4.00183358,6.29E-05,0.00141408,NLRP5,133
4525.01931,0.64559288,0.16153241,3.99667714,6.42E-05,0.00143411,LGALS12,134
5215.6863,0.53604727,0.13445237,3.98689342,6.69E-05,0.00148595,PDXK,135
5009.26878,0.74196882,0.18660279,3.97619354,7.00E-05,0.00153676,PRR19,136
680.97557,1.68064314,0.4229568,3.97355744,7.08E-05,0.00154511,TRAF2,137
1050.7663,0.89555716,0.22585875,3.96512043,7.34E-05,0.00158885,PEX11A,138
4374.33448,1.92414164,0.48533946,3.96452748,7.35E-05,0.00158984,VASH1,139
1089.21701,1.08594744,0.27398133,3.96358191,7.38E-05,0.00159318,TMEM263,140
9040.73003,0.52961381,0.13366169,3.96234549,7.42E-05,0.00159849,LRP5L,141
835.786722,1.328755,0.33554196,3.96002637,7.49E-05,0.00160516,DAND5,142
2840.30236,0.71326644,0.18014777,3.95934081,7.52E-05,0.00160681,SLC52A1,143
2742.62529,0.56641043,0.14310763,3.95793313,7.56E-05,0.00161333,COMMD8,144
5239.56813,0.64416102,0.16303476,3.95106556,7.78E-05,0.0016573,NOL6,145
3125.59713,0.5709435,0.1445555,3.94964914,7.83E-05,0.00166154,CA12,146
2262.6076,0.95135762,0.2409076,3.94905605,7.85E-05,0.00166212,CTPS2,147
3303.1837,0.79511437,0.20157264,3.94455505,7.99E-05,0.00168507,CALML3,148
4285.58244,0.80120609,0.20321733,3.94260706,8.06E-05,0.00169474,FHIT,149
1073.09659,1.08744406,0.27584539,3.94222306,8.07E-05,0.00169474,LTA4H,150
276.114395,3.24075896,0.82244365,3.94040242,8.13E-05,0.00170245,UBL4B,151
8096.79554,0.77568256,0.1968654,3.94016708,8.14E-05,0.00170245,OR10G3,152
